title,author,publication_year
One To Ten Pop-Up Surprises!,Chuck Murphy,1995
The fourth floor twins and the silver ghost express (The fourth floor twins),David A Adler,1986
Terrible Thing That Happened,Marge Blaine,1986
Au Nom De Tous Les Miens,Gray,0
Means of Evil,Ruth Rendell,1981
Robbie and the Leap Year Blues,Norma Klein,1990
Kidnapper,Robert Bloch,1988
In the Name of the Father,A.J. Quinnell,1988
Deck the Hall: A Traditional Carol,Sylvia Long,2000
Shadow Knows,Diane Johnson,1982
Wry Martinis,Christopher Buckley,1997
The Stone Boudoir: Travels through the Hidden Villages of Sicily,Teri Maggio,2003
"Never Without Heroes: Marine Third Reconnaissance Battalion in Vietnam, 1965-70","Lawrence C., Jr. Vetter",1996
11 Harrowhouse,Gerald A. Browne,1983
A Colton Cousins Adventure: Suzannah and the Secret Coins,Elaine Schulte,1992
Jailbird : a novel,Kurt Vonnegut,0
Passenger to Frankfurt: An Extravaganza,Agatha Christie,1970
Who's Haunting the House of Horror?: Follow the Clues to Unravel the Mystery (Solve It Yourself Series),Rupert Heath,1997
The Mystery of Agatha Christie,Gwen Robyns,1978
Wifey: An Adult Novel,Judy Blume,1978
"Hang tough, Paul Mather",Alfred Slote,1973
Living Without a Goal: Finding the Freedom to Live a Creative Innovative and Fulfilled Life,James Ogilvy,1995
Death of the Rainbow Warrior,Michael King,1987
"\And Then Jack Said to Arnie...\"": A Collection of the Greatest True Golf Stories of All Time""",Don  Wade,1992
Schooling,Heather McGowan,2002
Women Making a Difference,Marigold Best,2001
Singin' and Swingin' and Getting Merry like Christmas,MAYA ANGELOU,1997
The Call of the Wild (Watermill Classics),Jack London,1992
Learning Cocoa,"Inc.,  Apple Computer",2001
Sweetwater: A Novel,Roxana Robinson,2003
Rudolph Shines Again,Robert L. May,2003
Reaching Higher (Lippincott Basic Reading Series),William McCraken,1981
Here Comes Garfield,Jim Davis,1982
"Letters From Home (Silhouette Romance, 893)",Judy Collins,1992
A bright-shining place: The story of a miracle,Cheryl Salem,1981
Europe in the Twentieth Century,Robert O. Paxton,1985
The American history sourcebook,Joel Makower,1988
The Taking,Donald Beman,1997
Three little pigs (Little classics),Sarah Toast,1997
The West - A Collection from Harper's Magazine,Harpers Magazine Staff,1990
Puss in Boots (Fairy Tale Classics),Diane M. Stortz,1994
Tales of Mystery and Imagination,Edgar Allan Poe,1982
A Treasury of Western Folklore,B.A. Botkin,1991
Vengeance,Ian St. James,1992
Phoenix Fire,Elizabeth Forrest,1993
Battlefield: Farming a Civil War Battleground,Peter Svenson,1994
The Temptation of Elminster (Forgotten Realms),Ed Greenwood,1998
The Tycoon,George Alexanders,1988
The Best American Travel Writing 2001,Paul Theroux,2001
Against the Current: Selected Writings 1939-1996,Pierre Elliott Trudeau,1996
I Was A Teenage Dominatrix,Shawna Kenney,1999
The Naughty Bits: The Steamiest (And Most Scandalous) Sex Scenes from the World's Greatest Books,Jack Murnighan,2001
As Long As She Needs Me,Nicholas Weinstock,2001
The Cornbread Book: A Love Story with Recipes,Jeremy Jackson,2003
Douglass' Women : A Novel,Jewell Parker Rhodes,2002
Elmo Gets Homesick (Sesame Street/a Growing Up Book),Tish Sommers Rabe,1990
Die Schlimmen Buben in Der Schule,Nestroy,0
The Dragonstone,Dennis L. McKiernan,1996
Someone Is Eating the Sun (A Random House Pictureback),Ruth A. Sonneborn,1974
Margaret Wise Brown: Awakened by the Moon,Leonard S. Marcus,1999
Problems of Political Philosophy,D.D. Raphael,1990
Surfacing,Margaret Atwood,1983
"Maggie's Baby (Zebra Bouquet Romances, No 35)",Colleen Faulkner,2000
Duende : A Journey Into the Heart of Flamenco,JASON WEBSTER,2003
Daughters Of Texas (By Request 3'S) (By Request 3's),Annette Broadrick,2000
Death Train to Boston (Fremont Jones Mysteries (Paperback)),DIANNE DAY,2000
"Hot Peppers: Cajuns and Capsicum in New Iberia, Lousiana",Richard Schweid,1990
Mckenna'S Promise (Harlequin Historical No 216),Elizabeth Lane,1994
Summertime,Maureen McCoy,1988
Hoboken Chicken Emergency,Daniel M. Pinkwater,1978
The compleat American housewife 1776,Julianne Belote,1974
Signs of Spring,Laurel Lee,1981
"A rope of sand;: The colonial agents, British politics, and the American Revolution",Michael G Kammen,1974
How to Get a Date With a Vampire (And What to Do With Him Once You've Got Him),Kiki Olson,1992
Perfect Health: The Complete Mind/Body Guide,Deepak Chopra,1990
"Bright lights, dark rooms",David Nemec,1980
The Ultimate Good Luck (Vintage Contemporaries),Richard Ford,1987
The Healer,Greg Hollingshead,1999
In Another Country (Contemporary American Fiction),Susan Kenny,1985
Yesterday's Streets,Silvia Tennenbaum,1982
Mindblowing Sex in the Real World: Hot Tips for Doing It in the Age of Anxiety,Sari Locker,1995
Warlock in Spite of Himself,Christopher Stasheff,2004
The Moon Under Her Feet,Clysta Kinstler,1989
Bears' Guide to Earning Degrees by Distance Learning,John Bear,2001
Language and the Sexes,Francine Frank,1984
King Kelson's Bride,Katherine Kurtz,2001
Bears' Guide to the Best Computer Degrees by Distance Learning,John Bear,2001
The Pocket I Ching (Yenbooks),I Ching,1988
"Peterson's the Independent Study Catalog (Independent Study Catalog, 7th ed)",Peterson's,1998
Seals Strategic Warfare Operation No Man's Land (Seals Strategic Warfare),Mike Martell,2000
Three Up a Tree (Dial Easy-to-Read Book),James Marshall,1986
Nell's Cowboy (Harlequin Romance Audio),Debbie Macomber,2000
College Degrees You Can Earn from Home: How to Earn a First-Class Degree Without Attending Class,Judith Frey,1994
Living with Our Genes: Why They Matter More Than You Think,Dean H. Hamer,1999
Mummies (All Aboard Reading),Joyce Milton,1996
The Survivor,James Herbert,1988
Letters from Yellowstone,Diane Smith,1999
The Mating Season,P. G. Wodehouse,1989
The ABC Mystery,Doug Cushman,1993
Indiana Jones and the White Witch,Martin Caidin,1994
Walt Disney's Snow White and the Seven Dwarfs,Franc Mateu,1993
Everyone's Mandala Coloring Book Vol. 3,Monique Mandali,2001
"Time for School, Little Dinosaur (Jellybean Books)",Gail Herman,1998
Mush,Kathleen Kiirik Bryson,2001
How to Get Heat Without Fire (New Millennium Women Poets Series),Marilyn Kallet,1996
Likely: Poems (Wick Poetry First Book Series),Lisa Coffman,1996
Promises,Charlotte Vale Allen,1991
Gray Victory,Robert Skimin,1989
Beyond the Limits: A Woman's Triumph on Everest,Stacy Allison,1999
Die Schร?ยถnschreibร?ยผbungen des Gilbert Hasdrubal Koch.,Herbert Rosendorfer,1999
Funeral in Berlin,Len Deighton,1980
Die Schule der Frauen.,Andre Gide,2000
Sweeping Changes: Discovering the Joy of Zen in Everyday Tasks,Gary Thorp,2000
Meistererzร?ยคhlungen.,Henry Slesar,2000
Blue Angel: The Life of Marlene Dietrich,Donald Spoto,1992
Crystals: A Fiona Kendrick Mystery,Ann Zavala,1999
Secret Go the Wolves,R. D. Lawrence,1983
The Wisdom of No Escape : And the Path of Loving Kindness (Shambhala Classics),PEMA CHODRON,2001
500 Best Irish Jokes and Limericks,D. Anderson,1987
Rapunzel,Bernice Chardiet,1990
Babes in Toyland (Read With Me),Gina Shaw,1994
Warlock,Wilbur A. Smith,2001
COAST ROAD (SIGNED EDITION),Barbara Delinsky,1998
The Rising Sun: A Novel,Douglas Galbraith,2001
Mandala Designs (Dover Pictorial Archives),Martha Bartfeld,2000
Extinction Cruise,John-Allen Price,1987
The Last Phoenix,Richard Herman,2002
Die Zeit der Schmetterlinge.,Julia Alvarez,2002
Beverly: An Autobiography,Beverly Sills,1988
TOP GUNS,Joe Foss,1992
Dharma Art (Dharma Ocean Series),CHOGYAM TRUNGPA,1996
No Place for Sin (Senior Sleuth Fred Vickery),Sherry Lewis,1997
Fleurs Du Mal,Baudelaire,1998
Great Eastern Sun,CHOGYAM TRUNGPA,2000
Rร?ยผckgrat. Roman.,Philippe Djian,1993
Way of Hinduism (Thorsons Way of),Stephen Cross,2002
Skyfall,Thomas H. Block,1987
Fermentation,Angelica J.,1997
Zap! I'm a Mind Reader (Zack Files),Dan Greenburg,1996
Le cinquiร?ยจme cavalier,Lapierre,2001
Die Gunnar-Lennefsen-Expedition: Roman,Kathrin Schmidt,1998
A Secret Symmetry: Sabrina Spielrein Between Jung and Freud,Aldo Carotenuto,1984
Zwร?ยถlf Geschichten aus der Fremde.,Gabriel Garcia Marquez,1997
"MALL, MAYHEM &amp; MAGIC",Holly Lisle,1995
Gerbilitis (Weebie Zone No. 1),Stephanie Spinner,1996
Die Haut und die Maske.,Jesus Diaz,1999
The Seducer's Diary,Soren Kierkegaard,1997
Louisbourg Portraits,Christopher Moore,0
Siskiyou,Richard Hoyt,1984
Cellmates,Robert Burton,1999
Travels With Our Fellow Creatures,Phyllis Hobe,1999
Undiscovered Self,C.G. Jung,1972
Dreams of Glory,Thomas Fleming,1983
The Other Eye,Jerry Kennealy,2000
Power Games,David P. Jordan,1996
Balancing Work and Family (The Worksmart Series),Ken Lizotte,1995
The Laws of Falling Bodies,Kate Light,1997
Sunsets (Glenbrooke),Robin Jones Gunn,2000
Life Mapping: A Unique Approach to Finding Your Vision and Reaching Your Potential,Bill Cohen,1998
Dragonstrike: The Millennium War,H. Hawksley,1997
"Where's Iggy? (Petsitters Club, No 8)",Tessa Krailing,1999
I Am an Apple (Hello Reader! Science. Level 1),Jean Marzollo,1997
Aliens on the Internet,Hugh Scott Novins,2004
One Hungry Cat (Hello Reader! Math Level 3 (Paperback)),Joanne Rocklin,1997
This Great Unknowing: Last Poems,Denise Levertov,1999
Yoga (Collins Gem),Patricia Ralston,1999
I'm a Caterpillar (Hello Reader! Science. Level 1),Jean Marzollo,1997
Mars,Ben Bova,1992
"Love Letters from Cell 92: The Correspondence Between Dietrich Bonhoeffer and Maria Von Wedemeyer, 1943-45",Ruth-Alice Von Bismarck,1995
"My Sons, My England",Dougal Duncan,1981
Pale Fire,Vladimir Vladimirovich Nabokov,1987
What the Living Do: Poems,Marie Howe,1999
Indian Ink,Tom Stoppard,1995
Three to Conquer,Eric F. Russell,1986
Lucy Gayheart,Willa Sibert Cather,1976
The Music of Silence: A Memoir,Andrea Bocelli,2001
Scarlet Letter a Romance,Nathaniel Hawthorne,1970
Pacific Coast Highway,Stephen Smoke,1994
The Magician's Nephew Color Gift Edition (Narnia),C. S. Lewis,2003
Storm Shield,Kenneth C. Flint,1986
O.R.: True Story of 24 Hours in a Hospital Operating Room,B.D. Colen,1994
My Seaswept Heart,Christine Dorsey,1994
"Sword of Glory (Children of the Lion, No 8)",Peter Danielson,1987
Necroscope,Brian Lumley,1988
"Zolar's Encyclopedia of Omens, Signs and Superstitions",Zolar,1989
"The Rough Guide to Mexico (Mexico (Rough Guides), 4th Edition)",Rough Guides,1998
Changing Heaven,Urquhart,1991
Frommer's Mexico 2000,Arthur Frommer,1999
A Very Private Eye: An Autobiography in Diaries and Letters,Barbara Pym,1985
More Murderous Maths (The Knowledge),Kjartan Poskitt,1998
Hippo Murderous Maths: The Essential Arithmetricks,Kjartan Poskitt,1999
A Little Commonwealth: Family Life in Plymouth Colony,John Demos,1999
Family Business,Anna Murdoch,1989
The Education of Wasp (Wisconsin Studies in American Autobiogra),Lois Mark Stalvey,1989
"The Unabridged, Uncensored, Unbelievable Garfield",Jim Davis,1986
Who Do You Love,Valerie Sayers,1992
A Garfield Christmas,Jim Davis,1990
The Swordsman,William C. Heine,1980
Petrella at Q (Perennial British Mystery),Michael Gilbert,1989
The Beginning of Sorrows,David Martin,1987
"The Prophecy (Children of the Lion, Book 7)",Peter Danielson,1987
The Empty House (Perennial British Mystery),Michael Gilbert,1988
"Campfire Tales, 2nd : Ghoulies, Ghosties, and Long-Leggety Beasties (Campfire Books)",William Forgey,1999
The Little Girls (Twentieth Century Classics),Elizabeth Bowen,1992
State of Emergency,Steve Pieczenik,1999
The White Boy Shuffle: A Novel,Paul Beatty,2001
The Ice Age,Margaret Drabble,1983
Wuthering Heights and Poems,Emily Bronte,1978
The Pendragon,Catherine Christian,1984
The Discovery,Steve Shagan,1985
Literature of Their Own: British Women Novelists from Bronte to Lessing,Elaine Showalter,1978
The Mammoth Book of Word Games (Mammoth),Peter Newby,1995
Tennessee: Cry of the Heart,Dotson Rader,1986
The Specialist,Wynne Whiteford,1990
The Pickwick Papers (Oxford World's Classics),Charles Dickens,1998
Hard Times (The American Chronicles No. 4),Robert Vaughan,1993
"The Tie That Binds: A Collection of Writings About Fathers &amp; Daughters, Mothers &amp; Sons",Sandra Martz,1992
"The Machiavelli Interface (The Matador Trilogy, No 3)",Steve Perry,1992
Life on a Young Planet : The First Three Billion Years of Evolution on Earth (Princeton Science Library),Andrew H. Knoll,2003
Swimming chickens: And other half-breasted accounts of the animal world,Colin McEnroe,1987
Sector 12,Robert Bennett,1984
Fish (Phoenix Fiction),Monroe Engel,1985
The Shattering Sword,Forrest Taylor,2002
A Concise History of Mathematics,Dirk Jan Struik,1987
Decline and Fall,Evelyn Waugh,1993
Choura: The Memoirs of Alexandra Danilova.,Alexandra Danilova,1988
Hidden Riches,Nora Roberts,1998
Trouble,Michael Gilbert,1989
The True History of Chocolate,Sophie D. Coe,1996
The high cost of living,Marge Piercy,1978
"Touchstones: Letters Between Two Women, 1953-1964",Patricia Lamb,1986
Jephte's Daughter,Naomi Ragen,1994
Ancestors,Robert Kline,1988
Help! My Teacher Hates Me,Meg F. Schneider,1994
Janice VanCleave's Geometry for Every Kid : Easy Activities that Make Learning Geometry Fun (Science for Every Kid Series),Janice  VanCleave,1994
No Mans Land,John Toland,1982
Social Blunders,Tim Sandlin,1997
The Tongue Set Free: Remembrance of a European Childhood,Elias Canetti,1983
Math Trek : Adventures in the Math Zone,Ivars  Peterson,1999
Pipeline: A novel,Milt Machlin,1976
At the Drop of a Veil,Marianne Alireza,1991
Sirens (Vintage Contemporaries),Stephen Willard Pett,1990
Fires of Winter,Roberta Gellis,1987
Maggie's American Dream: The Life and Times of a Black Family,James P. Comer,1989
The Last Adam,James Gould Cozzens,1986
Terra sonรขmbula: Romance (Uma Terra sem amos),Mia Couto,1992
Rapture Effect,Jeffrey Carver,1988
The History of Pirates,Angus Konstam,2002
Upstart,Piers Paul Read,1979
Estรณrias abensonhadas: Contos (Uma terra sem amos),Mia Couto,1994
Still Life With Insects (A Graywolf Discovery),Brian Kiteley,1993
The White House mess,Christopher Buckley,1987
Daydreaming: Unlock the Creative Power of Your Mind,F. Diane Barth,1998
END RUN (WING COMMANDER 2) (Wing Commander),Christopher Stasheff,1993
"The Hedge, the Ribbon: A Novel",Carol Orlock,1993
In the Presence of Angels,Katherine Kingsley,2000
Dancin' with Hanson,Ravi Hutheesing,1999
David Copperfield (Oxford World's Classics Hardcovers),Charles Dickens,1999
Magic Mirror of M.C. Escher (Taschen Series),Bruno Ernst,1995
Men My Mother Dated: And Other Mostly True Tales,Brett Leveridge,2000
M.C. Escher Kaleidocycles,Doris Schattschneider,1987
Drawing Us in: Essays on How We Experience Visual Art : A Beacon Anthology (Beacon Anthology),Deborah Chasman,2000
Return of the Evil Twin (Sweet Valley High Super Edition),Kate William,1995
Black Heart,ERIC VAN LUSTBADER,1986
Life So Far : A Memoir,Betty Friedan,2000
Black Livingstone: A True Tale of Adventure in the Nineteenth-Century Congo,Pagan Kennedy,2002
2nd Culprit: An Annual of Crime Stories,Liza Cody,1994
Second Wind,Dick Francis,2000
A NEW FEAR (FEAR STREET SAGA 1) : A NEW FEAR,R.L. Stine,1996
Champions of the Scarred Lands,Sword and Sorcery Studios,2002
Swept Away,Kathryn Wesley,2002
"The Goblin Tower (Reluctant King, Vol. 1)",Lyon Sprague De Camp,1983
Possession,Ann Rule,1989
The Amethyst Crown,Katherine Deauxville,1994
Mystery from History,Dayle Gaetz,2001
Let's Go 1999: France,St Martins Press,1998
Answer As a Man,Taylor Caldwell,1992
Yankee Bride,Jane Peart,1984
"The Love Between Sisters (The Love Between Series, No. 6)",Helen Exley,1997
Fiction: A Longman Pocket Anthology (Longman Pocket Anthology Series),R. S. Gwynn,1998
Love Songs of the Tone-Deaf,Asher Brauner,1999
GO TO THE WIDOWMAKER (Reissue),JAMES JONES,1979
Thomas Edison (Children of History),Theodore Roland-Entwistle,1988
"Darwin in America: The Intellectual Response, 1865-1912",Cynthia Eagle Russett,1976
Leap Year: A Novel,Peter Cameron,1991
Audibles My Life in Football,Joe Montana,1990
James Stewart (Film Stars Series),Allan Hunter,1985
Burning Questions: A Novel,Alix Kates Shulman,1990
Complete Book of Dreams (Complete S.),Edwin Raphael,1992
The Golem,Gustav Meyrink,1985
Swan,Naomi Campbell,1996
This Side of Brightness,Colm Mccann,0
Down the Bright Way,Robert Reed,1991
Time With Children,Elizabeth Tallent,1988
Apartment 3B,Patricia Scanlan,1992
Fortunate Pilgrim,Mario Puzo,1965
The Weathermonger,Peter Dickinson,1969
Man With an Axe,Jon A. Jackson,1998
Outlaw,Warren Keifer,1997
Beloved Stranger,Judith Pella,1998
Futurewise,Patrick Dixon,1998
Letters to Star trek,Susan Sackett,1977
"Rhythm of Compassion: Caring for Self, Connecting with Society",Gail Straub,2000
Hot Ticket,Janice Weber,2000
Time is a Lover,Barbara Allen,1987
Sportswriter,Richard Ford,1996
Lady of Breeding,Delia Ellis,1991
"What Works, What Doesn't: The Guide To Alternative Healthcare",Pat Thomas,2003
A Rogue's Embrace (Zebra Regency Romance),Valerie King,2002
"A Lady's Life in the Rocky Mountains (The Western Frontier Library, 14)",Isabella Lucy Bird,1999
Foucault in 90 Minutes,Paul Strathern,2000
Cape Refuge,Terri Blackstock,2002
Apocalypses,R. A. Lafferty,1977
The Concise Oxford Dictionary of Quotations (Oxford Paperbacks),Elizabeth Knowles,2003
Daughter of China: The True Story of Forbidden Love in Modern China,Meihong Xu,1999
"Bodie Bride (Harlequin Historical, 140)",Isabel Whitfield,1992
Karma,Mitchell Smith,1994
Dreamers,Louise O'Flaherty,1984
Balance of Power,Paul Palmer,2000
Kinds of Love,May Sarton,1980
Better Money Management: A Step-by-step Guide to Making Your Money Go Further,Marie Jennings,1994
Have You Seen My Cat? (Classic Board Books),Eric Carle,1996
Meridon,Philippa Gregory,2003
Clara's Heart,Joseph Olshan,1987
Love Is a Racket,John Ridley,1999
Sweeter Than Dreams,Olga Bicos,1995
The New Villeneuve,Timothy Collings,1997
Clock Winder,Anne Tyler,1983
Longest Journey,E M Forster,0
"Death Down Under (A Detective Inspector Carol Ashton Mystery, No 3)",Claire McNab,1989
Mountbatten the Official Biography,Philip Ziegler,0
Granta: The Last Place on Earth (Granta: The Magazine of New Writing),Granta,1999
Mia: The Life of Mia Farrow,Edward Epstein,1992
"The Hostile Hospital (Series of Unfortunate Events, No. 8)",Lemony Snicket,2001
John: Son of Thunder,Ellen Gunderson Traylor,1980
On My Honor: Lesbians Reflect on Their Scouting Experience,Nancy Manahan,1998
The Wasted West,Shane Lacy Hensley,1998
Scavenger Reef,Laurence Shames,1995
Hell On Earth,Shane Lacy Hensley,1998
Tono-Bungay (Modern Library Classics),H.G. WELLS,2003
"River Quay (Tru North Mystery/Janet Mcclellan, 3)",Janet McClellan,1998
A World of Art with CD-ROM (4th Edition),Henry M. Sayre,2002
Writing About Art (4th Edition),Henry M. Sayre,2001
Nashborough,Elsie Burch Donald,2001
Nurse,Peggy Anderson,1979
The Mark of the Angel,Nancy Huston,1999
Time Expired (Jill Smith Mystery),Susan Dunlap,1994
The Saint Peter's Plot,Derek Lambert,1979
Festering Lilies,Natasha Cooper,1995
Pig and Pepper: A Comedy of Youth,David Footman,1990
Deutsches Theater (Kiwi),Benjamin V. Stuckrad-Barre,2002
A Passion for Life: The Biography of Elizabeth Taylor,Donald Spoto,1996
"Riverbend (Harlequin Historical, No 164)",Mary McBride,1993
Sports illustrated running for women (The Sports illustrated library),Janet Heinonen,1979
The Diaries of Kenneth Tynan,John Lahr,2002
"Bob Dylan, an Illustrated History",Michael Gross,1980
Conversations With John Steinbeck (Literary Conversations Series),Thomas Fensch,1988
Shoe Box to Silver Shoes,Stephen D. Smith,1999
Big Boy Did It and Ran Away,C. Brookmyre,2002
Show Me a Hero,Alfred Coppel,1987
The Markoff Women,June Flaum Singer,1986
"Close Encounters of the Fourth Kind: Alien Abduction, Ufos, and the Conference at M.I.T.",C. D. B. Bryan,1995
Overloaded Ark,G. Durrell,1953
Shadows on the Grass,Karen Blixen,1961
For Two Nights Only: Contains Overtime and Grailblazers,Tom Holt,2004
He Kills Coppers: A Novel,Jake Arnott,2002
Beyond The Rainbow,Margaret Chittenden,1986
Murder in the Executive Mansion,Elliott Roosevelt,1996
The Beloved: Reflections on the Path of the Heart (Arkana S.),Kahlil Gibran,1998
Signs Along the River,Kayo Robertson,2000
Light on Life,Hart Defouw,1996
Spinsters in Jeopardy,Ngaio Marsh,1993
IS HARRY ON THE BOAT?,Colin Butts,2000
Angel of Light,Joyce Carol Oates,1985
The Blue Hawk,Peter Dickinson,1977
"Fallen Fortress (Forgotten Realms : Cleric Quintet, Book Four)",R.A. Salvatore,1993
Valhalla,Tom Holt,2002
Thendara House,Marion Zimmer Bradley,1983
Sounder,William Armstrong,1973
The Cricklewood Diet,Alan Coren,1984
Rhinoceros,Colin Forbes,2001
Divine Comedies: Here Comes the Sun and Odds and Gods,Tom Holt,2003
Goodbye Darkness: A Memoir of the Pacific War,William Manchester,1982
Sweet Talking Money,Harry Bingham,2003
Infamy Pearl Harbor and Its Aftermath,John Toland,1983
Freaky Deaky,Elmore Leonard,1989
The Coelura,Anne McCaffrey,1987
Armadillo,William Boyd,0
"I, Etcetera: Stories",Susan Sontag,1978
Tough Guys Don't Dance,Norman Mailer,1985
Cut-Outs and Cut-Ups: A Lesbian Fun'N'Games Book,Elizabeth Dean,1989
The Ghost Light: Masterworks of Science Fiction and Fantasy,Fritz Leiber,1984
My Legendary Girlfriend,Mike Gayle,2003
Giant Treasury of Beatrix Potter,Beatrix Potter,1997
"My Favorite Summer, 1956",Mickey Mantle,1992
Not the End of the World,Christopher Brookmyre,2001
Country of the Blind,Christopher Brookmyre,2002
Same-Sex Marriage: Pro and Con : A Reader,ANDREW SULLIVAN,1997
K.D. Lang: All You Get Is Me,Victoria Starr,1995
Grave Concerns,Rebecca Tope,2002
Scene and Hird: Autobiography 1911-1974,Thora Hird,1995
Quick and Easy Students Cookbook (Quick &amp; Easy),Molly Lodge,1994
Icarus,Russell Andrews,2002
Bad to the Bone,Stephen Solomita,1992
Hangman's Holiday: A Collection of Short Mysteries,Dorothy L. Sayers,1987
The last place on earth,Roland Huntford,1985
Maximum Bob-20.00,E. Leonard,0
"Kitty, the raccoon",Jamie Stamper,1986
Jacob's Room &amp; The Waves: Two complete novels,"Virginia Stephen, Woolf",1978
The Greenlanders,Jane Smiley,1996
Hide Your Assets and Disappear: A Step-by-Step Guide to Vanishing Without a Trace,Edmund Pankau,2000
The Evening Crowd at Kirmser's: A Gay Life in the 1940s,Ricardo J. Brown,2003
I Am Woman,Lee Maracle,1988
Star Wars,Lucas,1980
Majesty: Elizabeth II and the House of Windsor,Robert Lacey,1983
Opening Up,Mike Atherton,2003
Marathoning: A book,Manfred Steffny,1979
Stories of Jack London,London,1983
Mon Grand Appartement,Christian Oster,1999
Master of Hawks,Linda Bushyager,1979
Tender Prey,S.W. Bradford,1990
I'll Quit Tomorrow : A Practical Guide to Alcoholism Treatment,Vernon E. Johnson,1990
Gifts from the Heart,Cynthia Whitney Ward,1994
Crackhead,Angela Harrison,1997
The Soldier's Return,Melvyn Bragg,2003
Jewel of the Nile,Joan Wilder,1985
Villard: The Life and Times of an American Titan,Alexandra Villard De Borchgrave,2001
W. C. Fields by Himself: His Intended Autobiography,W. C. Fields,1973
Coffee talk: A celebration of good coffee and great friends,Ellyn Sanna,1999
Many a Summer,Scott Hardiman,0
The Magnificent Spinster,May Sarton,1989
"Junky: The Definitive Text of \Junk\""""",William S. Burroughs,2003
Old Patagonian Express,Paul Theroux,1980
The Brave: A Story of New York City's Firefighters,George Pickett,2002
Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,2003
The Cat Who Could Read Backwards,Lilian Jackson Braun,2003
No Good Deed (Sonora Blair Mysteries (Paperback)),Lynn S. Hightower,1998
The Secret Lives of Dogs: The Real Reasons Behind 52 Mysterious Canine Behaviors,Jana Murphy,2000
A Darkness More Than Night,Michael Connelly,2001
Slim,Ruth Linnea Whitney,2003
Face Value,Don Bloch,1989
Loco,John Binias,2002
"Money Makes the World Go Around: One Investor Tracks Her Cash Through the Global Economy, from Brooklyn to Bangkok and Back",Barbara Garson,2001
Fireman Sam and the Chemistry Set,Diane Wilmer,1989
Cat in a Neon Nightmare (A Midnight Louie Mystery),Carole Nelson Douglas,2004
Death as a Way of Life: Israel Ten Years After Oslo,David Grossman,2003
A Tryst in Time,Eugenia Riley,1992
Shootdown the Verdict On Kal 007,R W Johnson,0
Solomons Vineyard,Jonathan Latimer,1993
Globalization and Fragmentation: International Relations in the Twentieth Century,Ian Clark,1997
Less Than Zero,Bret Easton Ellis,1987
The second Inspector Morse omnibus,Colin Dexter,1991
"Blackberries, Blackberries",Crystal Wilkinson,2000
Hope for the Flowers,Trina Paulus,1997
The Bones of the Buried: The Second in the Lord Edward Corinth and Verity Browne Murder Mystery series,David Roberts,2001
Sexing the Cherry,Jeanette Winterson,1998
Warrior Politics: Why Leadership Requires a Pagan Ethos,Robert D. Kaplan,2003
Paradise of the Blind : A Novel,Thu Huong Duong,2002
"Where There's a Will: A Collection of Wills Hilarious, Incredible, Bizarre, Witty...Sad",Morris L. Ernst,2000
The Search for the Panchen Lama,Isabel Hilton,2000
Marrying the Mistress,Joanna Trollope,2000
The Wicked Wit of Women,Dominique Enright,2003
The Difficulty of Being a Dog,Roger Grenier,2000
Innocent Blood,P. D. James,1982
A Blind Man Can See How Much I Love You: Stories,Amy Bloom,2000
The Player: A Novel,Michael Tolkin,1997
"Crime Story Collection (Penguin Readers, Level 4)",John Turvey,2000
The stone angel,Margaret Laurence,1981
Dear Tom: Letters from home,Tom Courtenay,2000
Wisdom of the '90s,George Burns,1991
Mastering Word 6 for Windows,Ron Mansfield,1994
The Life and Adventures of Nicholas Nickleby,Michael Slater,1982
Using Pagemaker 5 for Windows,Sharyn Venit,1993
Inside Adobe Photoshop 3/Book and Cd-Rom,David Gary Bouton,1995
Using Microsoft Office (Using ... (Que)),Que Development Group,1994
Heilgeheimnisse der Aborigenes. Die Naturmedizin der australischen Ureinwohner.,Christina Cerny,2000
The Heart Is Deceitful Above All Things,J.T. LeRoy,2001
GOD BLESS JOHN WAYNE (Kinky Friedman Novels (Hardcover)),Kinky Friedman,1995
Opas Engel.,Jutta Bauer,2003
A Model of Human Occupation: Theory and Application,Gary Kielhofner,1995
Spies: A Novel,Michael Frayn,2003
Arthur's Christmas Cookies (I Can Read Book 2),Lillian Hoban,1984
Introduction to Research: Multiple Strategies for Health and Human Services,"Elizabeth, Ph.D. Depoy",1993
"PMP: Project Management Professional Study Guide, 2nd Edition",Kim Heldman,2004
Understanding Organizations,Charles Handy,1999
A House in Flanders (Thorndike Large Print Basic),Michael Jenkins,1993
"A Message from the Match Girl (Investigators of the Unknown, Book 3)",Janet Taylor Lisle,1997
Follies,Rosie Thomas,1984
Harpist in the Wind (Harpist in the Wind),Patricia A. McKillip,1989
The Magic Years: Understanding and Handling the Problems of Early Childhood,Selma H. Fraiberg,1966
There is a Place on Earth,Tedeschi,1993
Night Terrors: Stories Of Shadow And Substance : Stories Of Shadow And Substance,Lois Duncan,1997
Elia Kazan: A Life,Elia Kazan,1997
Heir of Sea and Fire #02,Patricia A. McKillip,1980
"Fractal Mode (Mode Series, Book 2)",Piers Anthony,1992
Living in the Light of Death,LARRY ROSENBERG,2000
The Rules of Engagement : A Novel (Brookner Anita),ANITA BROOKNER,2003
Ordinary Day With Peanuts (Creative Short Stories),Shirley Jackson,1991
